imo,sector,destination,top1,score1,top2,score2,top3,score3,top4,score4,top5,score5
8858013,DRY BULK,ASTRAKHAN,Tarakan + code1,75,Basrah + code1,67,Bataan + code1,67,Destrehan + code1,67,Marstrand + code1,67
9770555,DRY BULK,LAKE CHARLES,Lake Charles - LNG Berths + code1,100,Cape Charles + code1,83,St Charles + code1,82,Carlisle + code1,70,Le Havre + code1,70
9601780,DRY BULK,JP MOJ MZ07C 2ND M,Moji + code2,43,Koyo Dock (Jap) + code1,39,Bandar Imam Khomeini + code1,37,"Shimizu, (Honshu), Japan + code1",37,Souma (Jap) + code1,37
9232785,DRY BULK,D DH!$AB/P((PHD,ABU DHABI + code1,45,King Abdullah Port + code1,45,Peterhead  + code2,44,Abu Al Bukhoosh + code1,43,"Bec d""Ambes + code1",42
8401157,DRY BULK,PARGUA,Paranagua + code1,80,Tallaboa Bay + code2,80,Palua + code1,73,Parnu + code1,73,Rio Grande (Arg) + code2,73
9532795,CONTAINER,KRPUS>USSEA,Seattle + code2+3,100,Sturgeon Bay + code2+3,80,Kenai + code2+3,80,Sacramento + code2+3,80,San Diego + code2+3,80
9726437,DRY,SABINE PASS,Sabine + code1,100,Assab + code1,62,La Salinetas + code1,61,La Salina + code1,60,AES Andres + code1,57
9577628,DRY,SANTOS,General Santos + code1,100,Santos + code1,100,Santo + code1,91,Sagunto + code1,77,Shantou + code1,77
9081045,TANKER,BAKUA    IND,Bayu-Undan + code1,63,Oakland + code1,62,Sakaide + code1,62,Auckland + code1,59,Bayuquan + code1,59
9564970,DRY BULK,TR ISK,Skutskar + code1,57,St Denis + code1,57,Three Rivers + code1,56,Kiska + code1,55,Risor + code1,55
9412799,CONTAINER,ZHOUSHAN CHINA,Zhoushan + code1,100,Chaozhou + code1,64,Chenshan + code1,64,Lianhuashan + code1,64,Changzhou + code1,61
9570319,TANKER,EOPL ANCHORAGE,Anchorage + code1,100,Muara Berau Anchorage + code1,78,Muara Pantai Anchorage + code1,78,Muara Sabak Anchorage + code1,78,Taboneo Anchorage + code1,78
7358822,DRY BULK,PJD T,St James + code2,60,Dumaguette + code2,60,Pu-Tai + code1,55,Puerto Padre + code1,47,Dugi Rat + code1,46
9285005,CONTAINER,EG DAM>US NYC,Xinyu + code1+3,55,Calcutta + code2+3,55,Changshu + code2+3,55,Santiago de Cuba + code2+3,55,Noumea + code2+3,55
9613329,DRY BULK,KAOHSIUNG TAIWAN,Kaohsiung + code1,100,Taishan Guangdong + code1,61,Kakogawa + code1,58,Sungai Udang + code1,57,Tanah Kuning + code1,57
9523017,CONTAINER,CNNSH,Shanghai + code2,80,Shekou + code2,80,Qinhuangdao + code2,80,Nansha + code2,80,Shidao + code2,80
9266190,DRY,PORT EVERGLADES,Port Everglades + code1,100,Port Eads + code1,75,Port Rhoades + code1,74,Port Giles + code1,72,Port Angeles + code1,67
9490789,DRY,TEMA,Tema + code1,100,Itea + code1,75,Tela + code1,75,Pemba + code1,67,Pitea + code1,67
9401958,DRY,AU ONS,Onslow + code2,91,Cairns + code2,73,Go Dau + code1,67,Agotnes + code1,62,Da Nong + code1,62
9531375,TANKER,HAMRIYAH,Hamriyah + code1,100,Dhamra + code1,71,Hamina + code1,71,Almeria + code1,67,Harwich + code1,67
9757993,DRY BULK,US CHS,St Charles + code1,62,Ahus + code1,60,Corpus Christi + code1,60,Changshu + code1,57,Chuansha + code1,57
9643180,DRY,CONAKRY GUINEA,Conakry + code1,100,Coruna + code1,60,Arguineguin + code1,56,Conneaut + code1,55,Hondagua + code1,55
9227704,DRY BULK,CHITTAGONG,Chittagong + code1,100,Changhong + code1,74,Chita - LNG + code1,74,Chicago + code1,71,Changwon + code1,67
9508861,TANKER,BASRAH,Basrah + code1,100,Bayah + code1,73,Barahona + code1,71,Bar + code1,67,Bastia + code1,67
9567714,DRY BULK,CN CJK,Kuchinotsu + code2,55,Chanaral + code2,55,Jiangmen + code2,55,"Kingstown, St. Vincent + code2",55,Kawagoe + code2,55
9230062,TANKER,FOR ORDER,Fort Pierce + code1,60,Fort Lauderdale + code1,58,Corner Brook + code1,57,Floro + code1,57,Koror + code1,57
8807337,DRY BULK,GRESIK,Gresik + code1,100,Thessaloniki + code2,73,Skaramanga + code2,73,IRAKLION + code2,73,Brevik + code1,67
9666443,DRY,NOVOROSSIYSK,Novorossiysk + code1,100,Tavriysk + code1,60,Novoportovskoye + code1,59,Namsos + code2,59,Risor + code2,59
9387607,CONTAINER,JMKIN,"Kingston, Jamaica + code2",100,Minamata + code2,80,Kin Wan (Okinawa) + code2,80,Ijmuiden + code1,62,Mackinaw + code1,62
9073086,DRY BULK,TUZLA-TURKEYH,Tuzla + code1,100,Tuzla Dockyard + code1,59,Kuala Beukah + code1,56,Turku + code1,56,Tuzla Dockyard + code2,56
9281891,TANKER,VN DQT,Vung Tau + code1,57,Ba Ngoi + code2,57,Banten + code2,55,Quintero + code2,55,Wilhelmshaven + code2,55
9615066,DRY,ID BDJ,Offshore Karimun Besar (Tsa) + code2,57,Jieh Port + code2,55,Djibouti + code2,55,Banjarmasin + code2,55,Brodick + code2,55
9247285,DRY,"GIBRALTAR,U.K",Gibraltar + code1,100,"Belfast, U.K. + code1",58,"Bristol, U.K. + code1",58,"Falmouth, U.K. + code1",56,"Portland, U.K. + code1",56
9565716,DRY,DAKAR,Dakar + code1,100,Bakar + code1,80,Aarhus + code2,80,Djakarta + code1,77,Dakhla + code1,73
9163489,DRY,OKKE,Okkye + code1,89,Kake + code1,75,Otake + code1,67,Okkye + code2,67,Kirkenes + code2,67
9520728,DRY BULK,TAO CN,Qingdao (formerly Tsingtao) + code2,91,TAICANG + code2,80,Can Tho + code1,77,Cinta + code1,73,Taixing + code2,73
9343883,DRY BULK,ORDERS S.AFRICA,Richards Bay + code1,59,Barcadera + code1,58,"Astoria, Oregon, U.S.A. + code1",57,"San Lorenzo, Argentina + code1",56,San Marcos + code1,56
9183491,DRY BULK,CAPE TOWN,Cape Town + code1,100,Campbeltown + code1,80,Cape Preston + code1,76,Pictou + code2,71,Powell River + code2,71
9186170,TANKER,SRIRACHA,Sriracha + code1,100,Ostrica + code1,67,Sariaya + code1,67,Sarroch + code1,67,Shirashima + code1,67
8862026,TANKER,DH,Doha + code1,67,Dahej + code1,57,Dighi + code1,57,Horsens + code2,57,Helsingor + code2,57
9711925,DRY BULK,US MSY,Phu My + code1,67,Moss + code1,60,St James + code1,57,Matsu + code1,55,Supsa + code1,55
8350889,DRY BULK,KHORAMSHAHR,Khorramshahr + code1,96,Kamsar + code1,71,Koverhar + code1,63,Porlamar + code1,63,Khoms + code1,62
9493834,DRY BULK,YU HUAN,Lan Yu + code1,77,Huanghua + code1,67,Yuzhny + code2,67,Dahanu + code1,62,Shulanghu + code1,62
9125669,DRY BULK,BRAKE,Brake + code1,100,Areia Branca + code2,80,Ariake + code1,73,Biak + code1,67,Kake + code1,67
8826759,CONTAINER,OME,Lome + code1,86,Nome + code1,86,Homer + code1,75,Nome + code2,75,Broome + code1,67
9595931,DRY,QINGDAO,Qingdao (formerly Tsingtao) + code1,100,Qinhuangdao + code1,78,Jaigarh + code2,67,Magdalla + code2,67,JAMNAGAR + code2,67
9323936,TANKER,RAS TANURAH,Ras Tanura + code1,95,Tanah Merah + code1,73,Ras Lanuf + code1,70,Ras Budran + code1,67,Rasta + code1,62
9150377,TANKER,KORFAKKAN,Kolaka + code1,67,Oakland + code1,62,Oran + code1,62,Tarakan + code1,62,Khor Fakkan + code1,60
9223825,DRY,HAIPHONG,Haiphong + code1,100,Changhong + code1,71,Hadong + code1,71,Tha Thong + code1,71,Hon Gai + code1,67
9292230,CONTAINER,XIAZHIMEN PILOT STNN,Siam Port + code1,55,Samcheon Po + code1,52,Loch Striven + code1,50,Port Stanvac + code1,50,"San Vicente, Chile + code1",49
9567831,DRY,NGHI SON P/S,Nghi Son + code1,100,Con Son + code1,60,Puerto Sandino + code2,59,Son Duong + code1,57,Glasson + code1,53
9675406,TANKER,NLRTM,Rotterdam + code2,100,Pernis + code2,60,Botlek + code2,60,Santarem + code2,60,Tramandai + code2,60
9728071,DRY BULK,USGLS,Galveston + code2,100,El Segundo + code2,80,Geismar + code2,80,Gretna + code2,80,Pascagoula + code2,80
9093323,TANKER,>JP NGO 3B OFF,Nagoya + code2+3,71,Ba Ngoi + code1+3,62,Paranagua + code2+3,57,Uno + code2+3,57,Naoetsu + code2+3,57
9796171,TANKER,LKCMB,Colombo + code2,100,Kimbe + code1,60,Limbe + code1,60,Kribi + code2,60,Mombasa + code2,60
9323479,CONTAINER,DUBLIN,Dublin + code1,100,Dubai + code1,73,Yulin + code1,73,Bellingham + code2,73,DALIAN + code1,67
9553256,DRY,TIANJIN,Tianjin + code1,100,Tianjin Lingang + code1,100,Tianjin Xingang + code1,100,Tangjin + code1,86,Panjin + code1,77
9621405,DRY,LONGKOU_CHINA,Longkou + code1,70,Kuching + code1,60,Longoni + code1,60,Lucinda + code1,60,Onomichi + code1,57
9698989,DRY BULK,DALRYMPLE BAY,Daya Bay + code1,67,Bantry Bay + code1,61,Milner Bay + code1,61,Oro Bay + code1,60,Aliveri Bay + code1,58
9011038,CONTAINER,BANGKOK,Bangkok + code1,100,Siam Bangkok Port + code1,100,Koko + code2,83,Bankot + code1,77,Ango Ango + code1,73
9512355,DRY BULK,<JP KUH>,Aabenraa + code1+3,0,Aaheim m + code1+3,0,Aalborg + code1+3,0,Aalvik + code1+3,0,Aandalsnes + code1+3,0
9393395,TANKER,ES TAR,Tarragona + code2,91,Stade + code2,73,"Cartagena, Spain + code2",73,Garrucha + code2,73,Tarbert Island + code2,73
9235062,TANKER,DURBAN,Durban + code1,100,Dubai + code1,73,Randers + code2,73,Drujba + code1,67,Dublin + code1,67
8316053,DRY BULK,AUGUSTA,"Augusta, (Sicily), Italy + code1",100,Port Augusta + code1,100,Stanley + code2,83,Famagusta + code1,75,Abu Musa + code1,67
8808161,CONTAINER,GALLE OPL,Galle + code1,100,Gallipoli + code1,67,Rio Gallegos + code1,67,Old Goa + code1,62,Galena Park + code1,60
9810068,CONTAINER,LCB TH,Can Tho + code1,62,Bath + code1,60,Cobh + code1,60,Tha Sala + code1,57,Blyth + code1,55
9734575,DRY,JUBAIL,King Fahd Industrial Port (Jubail) + code1,100,Dubai + code1,73,Chornomorsk + code2,73,"Baltimore - Locust Point, Maryland, U.S.A. + code2",73,Braila + code1,67
8505939,DRY BULK,FOR ORD,Floro + code1,67,Koror + code1,67,Bordeaux + code2,67,Ordu + code2,67,Port Fortier + code1,63
9265926,DRY BULK,US MSY,Phu My + code1,67,Moss + code1,60,St James + code1,57,Matsu + code1,55,Supsa + code1,55
9736341,DRY,AEJEA,Jebel Ali + code2,100,Jebel Dhanna - Ruwais + code2,80,Vaja + code1,67,Ajman + code1,60,Dahej + code1,60
9250139,DRY,ID_TABONEO,Taboneo Anchorage + code2,67,Cabo Negro + code1,60,Trabzon + code1,59,Gisborne + code1,56,Kitasode + code1,56
9725445,DRY,MZ MNC,Nouakchott + code2,55,Cozumel + code2,55,Cai Mep + code2,55,Malacca + code2,55,"Manzanillo, Cuba + code2",55
9819753,DRY BULK,>JP MIZ TS,Mizushima + code2+3,71,Misumi + code2+3,71,Izumisano + code2+3,71,Matsuura + code2+3,71,Kamiiso (Jap) + code1+3,60
9690573,DRY,>JP SGM NAKANO4,Nakanoseki + code1+3,58,Naoshima + code2+3,53,Komatsushima + code2+3,53,Nakanoseki + code2+3,53,Shiogama + code2+3,53
9294484,DRY,PERSIAN GULF,San Pedro Calif + code1,67,San Juan (Peru) + code1,64,Gulfhavn + code1,60,Ulsan + code1,59,Glensanda + code1,57
9708540,DRY BULK,SE LLA,Lae + code1,67,La Spezia + code1,67,La Mede + code1,62,Lamlash + code1,62,Bella Vista + code1,59
9088938,TANKER,LAGOS,General Lagos + code1,100,"Lagos, Nigeria + code1",100,Agotnes + code1,67,Ango Ango + code1,67,Glasgow + code1,67
9686376,TANKER,PASIR GUDANG,Pasir Gudang + code1,100,Ras Budran + code1,64,Galena Park + code1,61,Denpasar + code1,60,Dong Hai + code1,60
9561887,DRY,CN SHD,Shidao + code2,91,Shanghai + code2,73,Shekou + code2,73,Shuidong + code2,73,Qinhuangdao + code2,73
