"id","imo","sector","destination","top1","score1","top2","score2","top3","score3","top4","score4","top5","score5"
"162384","8713990","DRY",">JP ONX","Onomichi + JPONX&&>","91","Onoda + JPOND&&>","73","Onahama + JPONA&&>","73","Phoenix + name&&>","62","Gijon + name&&>","55"
"162385","9128881","TANKER","VN VUT","Vung Tau + VNVUT","91","Vavouto + name","62","Vung Ang + name","57","Ba Ngoi + VN CR","57","Ventspils + LVVNT","55"
"162408","9167801","CONTAINER","NL VLI","Flushing + NLVLI","91","Velsen + NLVEL","73","Vlaardingen + NLVLA","73","Navlakhi + name","57","Riga + LVRIX","55"
"162448","9005584","DRY BULK",">CN XMN","Xiamen + CNXMN&&>","91","Jiangmen + CNJMN&&>","73","Mawan + CNMWN&&>","73","HUMEN + CNHMN&&>","73","Xinsha + CNXNA&&>","73"
"162485","9411692","TANKER","KR USN","Ulsan + KRUSN","91","Daesan + KRTSN","73","Busan + KRPUS","73","Borusan + name","62","Karimun + name","62"
"162487","9776286","DRY BULK","CN ZOS","Zhoushan + CNZOS","91","Laizhou + CNLZO","73","Foshan + CNFOS","73","Zhongshan + CNZSN","73","Taizhou + CNTZO","73"
"162498","9135779","TANKER","KR YOS","Yosu + KRYOS","91","Kos + name","67","Yosu + name","60","Kramfors + name","57","Grays + name","55"
"162503","9259185","TANKER","KR TSN","Daesan + KRTSN","91","Taean + KRTAN","73","Ulsan + KRUSN","73","Karatsu + name","62","Kherson + name","62"
"162548","9036741","DRY BULK","KR PUS","Busan + KRPUS","91","Ulsan + KRUSN","73","Pusan + name","55","Kristinestad + FIKRS","55","Ponce + PRPSE","55"
"162578","9309150","CONTAINER","RU VYP","Vostochnyy + RUVYP","91","Vyborg + RUVYG","73","Vysotsk + RUVYS","73","Varandey + RU VA","73","Primorsk + RUPRI","55"
"162589","9586710","DRY","BE GNE","Ghent + BEGNE","91","Nessabar + BGNES","73","Benete + name","67","Bergen + name","67","Nha Be + name","67"
"162605","9558610","OSV","TROGIR","Giresun + TRGIR","91","Girassol + AOGIR","73","Ordu + TRORD","73","Detroit + name","62","Tangier + name","62"
"162607","9142526","DRY BULK","AL DRZ","Durres + ALDRZ","91","Valdez + name","67","Alemdar + name","62","Ras Al Hadd + name","59","Luderitz + name","57"
"162635","9126728","DRY BULK","TR TUZ","Tuzla Dockyard + TRTUZ","91","Tutuncifilik + TRTUT","73","Trabzon + TRTZX","73","Tartous + name","62","Truk + name","60"
"162650","9443126","DRY","JP YUR","Yura + JPYUR","91","Muroran + JPMUR","73","Yura + name","60","Tsurumi (Jap) + name","59","Jayapura + name","57"
"162656","9341988","CONTAINER","CN ZOS","Zhoushan + CNZOS","91","Laizhou + CNLZO","73","Foshan + CNFOS","73","Zhongshan + CNZSN","73","Taizhou + CNTZO","73"
"162671","9486324","DRY","IT PMO","Palermo + ITPMO","91","Piombino + ITPIO","73","Porto Empedocle + ITPEM","73","Porto Torres + ITPTO","73","Porto Marghera + ITPMA","73"
"162682","9395185","DRY BULK","TR TUZ","Tuzla Dockyard + TRTUZ","91","Tutuncifilik + TRTUT","73","Trabzon + TRTZX","73","Tartous + name","62","Truk + name","60"
"162688","9260043","TANKER","AE KLF","Khor Fakkan + AEKLF","91","Khalifa + AEKHL","73","Khor Kalba + AEKLB","73","Le Havre + name","57","East London + ZAELS","55"
"162703","9167617","DRY BULK","CN NDE","Ningde + CNNDE","91","Ningde + name","67","Con Son + name","62","Onne + name","60","Chandler + name","57"
"162763","9194892","CONTAINER",">CN ZOS","Zhoushan + CNZOS&&>","91","Laizhou + CNLZO&&>","73","Foshan + CNFOS&&>","73","Zhongshan + CNZSN&&>","73","Taizhou + CNTZO&&>","73"
"162801","9194892","CONTAINER",">CN ZOS","Zhoushan + CNZOS&&>","91","Laizhou + CNLZO&&>","73","Foshan + CNFOS&&>","73","Zhongshan + CNZSN&&>","73","Taizhou + CNTZO&&>","73"
"162822","9570589","TANKER","KR YOS","Yosu + KRYOS","91","Kos + name","67","Yosu + name","60","Kramfors + name","57","Grays + name","55"
"162878","9118238","DRY","AE FJR","Fujairah + AEFJR","91","Sandefjord + name","62","ANYER + name","55","Dahej + name","55","Haeju + name","55"
"162888","9208057","TANKER","AE KLF","Khor Fakkan + AEKLF","91","Khalifa + AEKHL","73","Khor Kalba + AEKLB","73","Le Havre + name","57","East London + ZAELS","55"
"162898","8913174","TANKER","SG SIN","Singapore + SGSIN","91","Bassein + name","62","Messina + name","62","Es Sider + name","57","Nghi Son + name","57"
"162920","9303053","DRY","CN TXG","Tianjin Xingang + CNTXG","91","Nantong + CNNTG","73","Shantou + CNSTG","73","Taixing + CNTAX","73","JINGTANG + CNJTG","73"
"162954","9743590","DRY","CN TXG","Tianjin Xingang + CNTXG","91","Nantong + CNNTG","73","Shantou + CNSTG","73","Taixing + CNTAX","73","JINGTANG + CNJTG","73"
"162975","8728062","DRY BULK","TR TUZ","Tuzla Dockyard + TRTUZ","91","Tutuncifilik + TRTUT","73","Trabzon + TRTZX","73","Tartous + name","62","Truk + name","60"
"162976","9088598","DRY BULK","CN TAO","Qingdao (formerly Tsingtao) + CNTAO","91","TAICANG + 	CNTA","80","Can Tho + name","77","Cinta + name","73","Taixing + CNTAX","73"
"162989","9475715","DRY","BG VAR","Varna + BGVAR","91","Bar + name","67","Bari + name","60","Gary + name","60","Bakar + name","55"
"162995","9147916","TANKER","MM RGN","Rangoon + MMRGN","91","Marin + name","55","Moron + name","55","Mahajunga + MGMJN","55","Nouadhibou + MRNDB","55"
"163021","9520895","DRY BULK","JP MTS","Matsuura + JPMTS","91","Kimitsu + JPKMT","73","Shimotsu + JPSMT","73","Matsushima + JPMAT","73","Toyohashi + JPTHS","73"
"163048","9133422","DRY BULK","CN XMN","Xiamen + CNXMN","91","Jiangmen + CNJMN","73","Mawan + CNMWN","73","HUMEN + CNHMN","73","Xinsha + CNXNA","73"
"163055","9357755","DRY","CN YNT","Yantai + CNYNT","91","Yantian + CNYTN","73","Nantong + CNNTG","73","Cairn Ryan + name","62","Can Tho + name","62"
"163071","9180645","DRY BULK",">JP SMZ OFF","Shimizu, (Honshu), Japan + JPSMZ&&>","91","Hososhima + JPHSM&&>","73","Sakaiminato + JPSMN&&>","73","Shiogama + JPSGM&&>","73","Shimotsu + JPSMT&&>","73"
"163133","9153214","TANKER","AR PUD      ""","Puerto Deseado + ARPUD","91","Farsund + name","62","Karmsund + name","57","Suda Bay + name","57","Umm Qasr + name","57"
"163147","9107253","DRY BULK","PH SFS","Subic Bay + PHSFS","91","San Fernando + PHSFE","73","Naga + PH WN","57","Hososhima + JPHSM","55","Shimonoseki + JPSHS","55"
"163163","9262637","DRY","KR YOS","Yosu + KRYOS","91","Kos + name","67","Yosu + name","60","Kramfors + name","57","Grays + name","55"
"163173","9758363","DRY","KR OKK","Okkye + KROKK","91","Mokpo + KRMOK","73","Okpo + KROKP","73","Koko + name","60","Koror + name","55"
"163184","9687174","DRY BULK","SG SIN>>BR SFS","Sao Francisco do Sul + BRSFS&&>","91","Sao Sebastiao + BRSSO&&>","73","Santos + BRSSZ&&>","73","Salvador + BRSSA&&>","73","Brussels + name&&>","57"
"163233","9673824","DRY BULK","KR YOS","Yosu + KRYOS","91","Kos + name","67","Yosu + name","60","Kramfors + name","57","Grays + name","55"
"163312","9586710","DRY","BE GNE","Ghent + BEGNE","91","Nessabar + BGNES","73","Benete + name","67","Bergen + name","67","Nha Be + name","67"
"163348","9029712","DRY BULK","KR PUS","Busan + KRPUS","91","Ulsan + KRUSN","73","Pusan + name","55","Kristinestad + FIKRS","55","Ponce + PRPSE","55"
"163351","9263241","DRY","CN NTG","Nantong + CNNTG","91","Shantou + CNSTG","73","Nanjing + CNNJG","73","JINGTANG + CNJTG","73","Yantai + CNYNT","73"
"163379","9314674","DRY BULK","CN ZOS","Zhoushan + CNZOS","91","Laizhou + CNLZO","73","Foshan + CNFOS","73","Zhongshan + CNZSN","73","Taizhou + CNTZO","73"
"163394","9199397","DRY BULK","LV RIX>SE VAL","Vallvik + SEVAL&&>","91","Varberg + SEVAG&&>","73","Wallhamn + SEWAL&&>","73","Vaja + SEVAJ&&>","73","Sal Is. + name&&>","67"
"163400","9276327","TANKER","JP KSM","Kashima + JPKSM","91","Hososhima + JPHSM","73","Sakaiminato + JPSMN","73","Kimitsu + JPKMT","73","Komatsushima + JPKOM","73"
"163442","9598282","DRY","NL RTM","Rotterdam + NLRTM","91","Port Gentil + name","59","Le Trait + name","57","Port Angeles + name","56","Port Lincoln + name","56"
"163448","8520202","DRY BULK","RU VVO","Vladivostok + RUVVO","91","Moskalvo + RUMVO","73","Varandey + RU VA","73","Vavouto Port + name","56","Rugao + name","55"
"163506","9353670","DRY","ID MUB","Muara Berau Anchorage + IDMUB","91","Muara Jawa + IDMUD","73","Surabaya + IDSUB","73","Dublin + IEDUB","73","Muara Bangkong + IDMBK","73"
"163546","9300506","DRY","KR YOS","Yosu + KRYOS","91","Kos + name","67","Yosu + name","60","Kramfors + name","57","Grays + name","55"
"163572","9491587","DRY BULK","CN ZOS","Zhoushan + CNZOS","91","Laizhou + CNLZO","73","Foshan + CNFOS","73","Zhongshan + CNZSN","73","Taizhou + CNTZO","73"
"163578","9491226","DRY","CN XMN","Xiamen + CNXMN","91","Jiangmen + CNJMN","73","Mawan + CNMWN","73","HUMEN + CNHMN","73","Xinsha + CNXNA","73"
"163663","7004342","TANKER","EE TLL","Tallinn - Miinisadam + EETLL","91","Hopewell + name","57","Loch Ewe + name","57","Keret + name","55","Pepel + name","55"
"163664","9808247","OSV","NL RTM","Rotterdam + NLRTM","91","Port Gentil + name","59","Le Trait + name","57","Port Angeles + name","56","Port Lincoln + name","56"
"163696","9243875","DRY BULK","CL PMC","Puerto Montt + CLPMC","91","La Palma + name","57","La Place + name","57","Panama Canal + name","56","Chanaral + CLCNR","55"
"163699","9335109","TANKER","AE FJR","Fujairah + AEFJR","91","Sandefjord + name","62","ANYER + name","55","Dahej + name","55","Haeju + name","55"
"163700","9241114","TANKER","CN TAO","Qingdao (formerly Tsingtao) + CNTAO","91","TAICANG + 	CNTA","80","Can Tho + name","77","Cinta + name","73","Taixing + CNTAX","73"
